project,commit,hash,message,antipattern,keyword

"Android app manager
"," #1
",[980febbe5e1af05a21c9f08a8133e8b2804f2265](https://github.com/ros-android/android_app_manager/commit/980febbe5e1af05a21c9f08a8133e8b2804f2265),Increase wifi timeout.,"Smith:Where_Was_I
New:Hard-coded-timing",increase

"Android app manager
"," #2
",[feaf968ca40f8869989d7fa899a3dca678fb741c](https://github.com/ros-android/android_app_manager/commit/feaf968ca40f8869989d7fa899a3dca678fb741c),Fix a variety of potential hang-ups with the starting application dialog,X,hang

"arduino-esp32
"," #1
",[d1025b6b5d98686abdf9d8c450f07da27e3b6012](https://github.com/espressif/arduino-esp32/commit/d1025b6b5d98686abdf9d8c450f07da27e3b6012),"Update esp32-hal-i2c.c

wait for data to be latched and increase timeout in attempt to fix clock stretch issues

Connected issues:

http://esp32.com/viewtopic.php?f=19&t=632&p=2832#p2801

https://github.com/espressif/arduino-esp32/issues/81

https://github.com/espressif/arduino-esp32/issues/53

https://github.com/espressif/arduino-esp32/issues/11","New:Hard-coded-fine-tuning
New:Hard-coded-timing",increase

"arduino-esp32
"," #2
",[51a4432ca8e71be202358ceb068f3047bb8ad762](https://github.com/espressif/arduino-esp32/commit/51a4432ca8e71be202358ceb068f3047bb8ad762),"HTTPClient Port (#347)

* Fix possible infinite loop in the example



* Remove workaround of sockets always return -76



Remove workaround of sockets always return -76 (because it's fixed on IDF now)

Remove delay during handshake (improving stability)



* Remove unusable mbedtls_net of context creation



* Fix bad destructor



* Compatibility with WiFiClient for HTTPClient



* Initial port from ESP8266



Changed SHA1 fingerprint by Root CA verification

Changed log system



* Remove deprecated function",X,infinite

"arduino-esp32
"," #3
",[dcdf8132d6b8aaf146ad16f5e5c60a93c887ad6b](https://github.com/espressif/arduino-esp32/commit/dcdf8132d6b8aaf146ad16f5e5c60a93c887ad6b),"Increase partition size to 1.25MB so BT and WiFi can fit

Fixes: https://github.com/espressif/arduino-esp32/issues/339",New:Hard-coded-fine-tuning,increase

"arduino-esp32
"," #4
",[4495659ac53bcdc4f8e59d6918b3e472903d63a7](https://github.com/espressif/arduino-esp32/commit/4495659ac53bcdc4f8e59d6918b3e472903d63a7),Increase the memory for loop task,New:Hard-coded-fine-tuning,memory

"arduino-esp32
"," #5
",[e3a5ae439bb94ae13bd970d9484d4665e1df4972](https://github.com/espressif/arduino-esp32/commit/e3a5ae439bb94ae13bd970d9484d4665e1df4972),"clean up faster (fixes #828) (#1087)

flush tcp buffer instead of reading it byte by byte.",X,faster

"arduino-esp32
"," #6
",[a59eafbc9dfa3ce818c110f996eebf68d755be24](https://github.com/espressif/arduino-esp32/commit/a59eafbc9dfa3ce818c110f996eebf68d755be24),"Update IDF to aaf1239 (#1539)

* fix sdmmc config



* Fix warnings in EEPROM



from @Curclamas



* remove leftover TAG in EEPROM



* Initial add of @stickbreaker i2c



* Add log_n



* fix warnings when log is off



* i2c code clean up and reorganization



* add flags to interrupt allocator



* fix sdmmc config



* Fix warnings in EEPROM



from @Curclamas



* remove leftover TAG in EEPROM



* fix errors with latest IDF



* fix debug optimization (#1365)



incorrect optimization for debugging tick markers.



* Fix some missing BT header



* Change BTSerial log calls



* Update BLE lib



* Arduino-ESP32 release management scripted (#1515)



* Calculate an absolute path for a custom partitions table (#1452)



* * Arduino-ESP32 release management scripted

(ready-to-merge)



* * secure env for espressif/arduino-esp32



* * build tests enabled

* gitter webhook enabled



* * gitter room link fixed

* better comment



* * filepaths fixed



* BT Serial adjustments



* * don't run sketch builds & tests for tagged builds



* Return false from WiFi.hostByName() if hostname is not resolved



* Free BT Memory when BT is not used



* WIFI_MODE_NULL is not supported anymore



* Select some key examples to build with PlatformIO to save some time



* Update BLE lib



* Fixed BLE lib



* Major WiFi overhaul



- auto reconnect on connection loss now works

- moved to event groups

- some code clean up and procedure optimizations

- new methods to get a more elaborate system ststus



* Add cmake tests to travis



* Add initial AsyncUDP



* Add NetBIOS lib and fix CMake includes



* Add Initial WebServer



* Fix WebServer and examples



* travis not quiting on build fail



* Try different travis build



* Update IDF to aaf1239



* Fix WPS Example



* fix script permission and add some fail tests to sketch builder



* Add missing space in WiFiClient::write(Stream &stream)",X,memory

"arduino-esp32
"," #7
",[28a410dd503c2ae0f5bb82d471097b9abafe2e90](https://github.com/espressif/arduino-esp32/commit/28a410dd503c2ae0f5bb82d471097b9abafe2e90),"Spurious Interrupts Temporary fix 20180711 (#1625)

the 'eject' ERROR is and indication of an interrupt triggering without an source.  I am working to eliminate these serviceable interrupt.  This update increase stability on a HelTek Wifi Lora 32 board. with a SSD1306 OLED.  This update fixes a glaring error in the interrupt allocation code, the Interrupt mask was wrong.  I also dynamically adjust the FiFo thresholds based on Bus clockrate. The change to FiFo thresholds has reduced the number for 'eject' events.  I also change 'eject' from and ERROR to DEBUG.  An 'eject' event does not compromise i2c transmissions. It happens after a transaction has completed.



Chuck.",General:Hard-coding,increase

"arduino-esp32
"," #8
",[8d7fb58672c3e506660268de4a69759a36d1cceb](https://github.com/espressif/arduino-esp32/commit/8d7fb58672c3e506660268de4a69759a36d1cceb),"Fix for spurious interrupts during I2C communications (#1665)

This version no longer needs an interrupt for each byte transferred. It only needs interrupts for START, STOP, FIFO empty/Full or error conditions.  This dramatically reduces the interrupt overhead.  I think the prior version was causing an interrupt overload condition where the ISR was not able to process every interrupt as they happened.",Smith:General:Unnecessary_Processing,overhead

"arduino-esp32
"," #9
",[328523f5e3289de193e04aaf4bf13f9672078fd6](https://github.com/espressif/arduino-esp32/commit/328523f5e3289de193e04aaf4bf13f9672078fd6),"Memory leak (#1672)

When a package of size 0 arrives, ""buf"" is created, but never released. (Sorry, that was my mistake in the last patch)",General:C:not_deallocating,memory

"arduino-esp32
"," #10
",[80c110ece70b179ddfe686e8ee45b6c808779454](https://github.com/espressif/arduino-esp32/commit/80c110ece70b179ddfe686e8ee45b6c808779454),Add more methods to access memory properties,X,memory

"arduino-esp32
"," #11
",[a0f0bd930cfd2d607bf3d3288f46e2d265dd2e11](https://github.com/espressif/arduino-esp32/commit/a0f0bd930cfd2d607bf3d3288f46e2d265dd2e11),"Fix BTserial memory leaks (#1801)

- Delete queue at end

- Close BT connection before end

- DeInit SPP",General:C:not_deallocating,memory

"arduino-esp32
"," #12
",[b37f4069e481b9c8ce0d18a107eb9a99374f82a5](https://github.com/espressif/arduino-esp32/commit/b37f4069e481b9c8ce0d18a107eb9a99374f82a5),"Increase _network_event_task priority (#2184)

Fixes https://github.com/espressif/arduino-esp32/issues/1595","General:Hard-coding
New:Fixed_Communication_Rate",increase

"arduino-esp32
"," #13
",[c827bb4177702ce202ca3c966f3ce7564444df5b](https://github.com/espressif/arduino-esp32/commit/c827bb4177702ce202ca3c966f3ce7564444df5b),"CPU and APB Frequency support (#2220)

* Add support to HAL for APB frequencies different than 80MHz



* Add support for CPU frequencies in the IDE board menu



* Switch to fast set_config



* Add method to uart so debug can be reassigned after apb frequency switch



* Return real APB frequency",X,fast

"arduino-esp32
"," #14
",[229d9b7366deee0d8a90fb69c19119f7287c9d1d](https://github.com/espressif/arduino-esp32/commit/229d9b7366deee0d8a90fb69c19119f7287c9d1d),"[WiFiClientSecure] Shows only free internal heap on logs (#2252)

* Shows only free internal heap on logs



Since Mbedtls is running only on internal heap, show internal + PSRAM available memory on logs can confuse the users



* Clarify logs",X,memory

"arduino-esp32
"," #15
",[9a7946e6859130146e56231c27a4aa177d9175a1](https://github.com/espressif/arduino-esp32/commit/9a7946e6859130146e56231c27a4aa177d9175a1),"I2C fix READ of zero bytes hardware hang (#2301)

The i2c peripheral will hang if a READ request is issued with a zero data length.  The peripheral

drops into a continuous timeout interrupt response.  The STOP command can not be set out to the I2C

bus. The SLAVE device correctly ACK'd the address byte, with READ bit set, it has control of the SDA

 pin.  The ESP32 send out the next SCL HIGH pulse but, since the SLAVE is in READ Mode, and the First

bit it is sending happened to be a ZERO, the ESP32 cannot send the STOP.  When it releases SDA during

the SCL HIGH, the pin does not change state.  The pin stays low because the SLAVE is outputing a LOW!

The ESP32 drops into a perminent WAIT state waiting for SDA to go HIGH (the STOP).



**esp32-hal-i2c.c**

* add databuff length checks to `i2cRead()` and `i2cWrite()`",X,hang

"arduino-esp32
"," #16
",[a87b2ec69054ce43a48bd042599b4185267ebc1d](https://github.com/espressif/arduino-esp32/commit/a87b2ec69054ce43a48bd042599b4185267ebc1d),"Fix AsyncUDP receive memory leak (#2607)

If _handler is set, pbuf_free is not called. ~AsyncUDPPacket() calls pbuf_free once but only after calling pbuf_ref in it's constructor. The refcount never reaches zero and the memory allocated for pbuf is never released.",General:C:not_deallocating,memory

"arduino-esp32
"," #17
",[619568db5bcc219091c653a5ced5e378b3a5643b](https://github.com/espressif/arduino-esp32/commit/619568db5bcc219091c653a5ced5e378b3a5643b),"Converted EEPROM library to use nvs instead of partition.   (#2678)

* Converted EEPROM library to use nvs instead of partition.  Removed eeprom partition from all partition table CSV files.

* Changed variable names, added some comments, formatting as per me-no-dev's requests

* Checks for memory on malloc

* Moved include nvs.h from header to code

* Reworked the extra example to make it more clear how to actually use the library and persist data",X,memory

"arduino-esp32
"," #18
",[ab309e40d5f7a593f36f456976973ed7589a1f04](https://github.com/espressif/arduino-esp32/commit/ab309e40d5f7a593f36f456976973ed7589a1f04),"Copy ESP8266 String w/SSO to ESP32 repo (#2715)

I redid the ESP8266 WString library to enable small string optimization

(SSO) a while back, and think it would be helpful even on the ESP32 with

its higher memory complement.



SSO avoids lots of tiny mallocs() on the heap which cause fragmentation

by using the memory in the class object itself to store the actual

string and only mallocing() for buffers that are larger than what can

fit in thie class object.  Modern C++ std::string implementations have

this optimization as well, but since we're using Arduino strings we had

to roll our own.",X,memory

"arduino-esp32
"," #19
",[e1548e9b7e0b6e519a7f59052817152bfb16ab59](https://github.com/espressif/arduino-esp32/commit/e1548e9b7e0b6e519a7f59052817152bfb16ab59),Fix hang on client disconnect during upload (#2914),X,hang

"arduino-esp32
"," #20
",[390da0d09080ac6689a6337f0085f4cd2dc3ffb9](https://github.com/espressif/arduino-esp32/commit/390da0d09080ac6689a6337f0085f4cd2dc3ffb9),bump CONFIG_ESP32_WIFI_STATIC_RX_BUFFER_NUM to improve RX performance (#3119),New:Hard-coded-fine-tuning,performance

"arduino-esp32
"," #21
",[b3ba80d57036aa57469653d23cab7cc9029d2ff2](https://github.com/espressif/arduino-esp32/commit/b3ba80d57036aa57469653d23cab7cc9029d2ff2),"nvs_handle is an int, was assigning NULL.  Also cleaned up end to ensure no memory leak. (#3246)",X,memory

"arduino-esp32
"," #22
",[5bff89f0be51da3a6306a342e75517f861ba61c9](https://github.com/espressif/arduino-esp32/commit/5bff89f0be51da3a6306a342e75517f861ba61c9),Fixed issue-3153 - Allocating enough memory to construct the entire UUID as a String. (#3297),New:Hard-coded-fine-tuning,memory

"arduino-esp32
"," #23
",[38c4c0610846b7193e908b474e2c8db06ae981ba](https://github.com/espressif/arduino-esp32/commit/38c4c0610846b7193e908b474e2c8db06ae981ba),"Support for Master mode, Pin and SSP (#3219)

* 20190916 - initial: support for Master mode, Pin and SSP



* 20190916 - initial: Add example app for Master mode



* 20190916 - initial: Force another build



* 20190916 - connect would use resolved address as preference and remove now redundant _remote_address



* 20190916 - rework set/reset/default pin logic



* 20190916 - cleanup: remove static vars, add/use constants, fix typos



* 20190916 - fix build issues and implement geoup events for status verification.



* 20190916 - remove extra lines,misc



* 20190916 - rework ESP_BT_GAP_DISC_RES_EVT, added SPP_DISCONNECTED bit for disconnect event. + timeout for disconnect()



* 20190916 - Small log change to improve log sequencing



* 20190916 - remove static from local vars



* 20190916 - Limited scope and duration for the scan, log device address during scan in info mode as it is very difficult to find out sometimes. Fixed get_name_from_eir() not resetting the name when called.



* 20190916 - break property for loop during scan when name matches.



* 20190916 - misc



* 20190916 - SPP_DISCONNECT state updates



* 20190916 - formatting, remove some strange syntax from initiator code



* 20190916 - Add comments to the example about connect(...) usage and timeouts



* 20190916 - fix disconnect() without timeout



* 20190916 - Add example comment to view BT address and name during connect(name)



* 20190916 - wording in example comments



* 20190916 - rework connect() and disconnect() methods to help with concurrency and more authoritative status returned back to caller. Automatic disconnect in connect() methods



* 20190916 - optimize code



* 20190916 - optimize code - more



* 20190916 - add timeout for pin set



* 20190916 - change scan mode to ESP_BT_SCAN_MODE_CONNECTABLE_DISCOVERABLE



* 20190916 - update example code slightly



* 20190916 - increase READY_TIMEOUT to 10 secs



* 20190916 - typo in example and move waitForConnect() to static area



* 20190916 - update example comments



* 20190916 - update example comments



* 20190916 - update example comments



* 20190916 - add new example to remove paired devices from ESP32



* 20190916 - correct typo in example



* 20190916 - update example comment, add remove_bond_device() method for convenience.



* 20190916 - reword example comment.



* 20190916 - rename remove_bond_device()



* 20190916 - rename removePairedDevice() to unpairDevice()



* 20190916 - code review changes



* 20190916 - fix return value in setup() od example",X,increase

